all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9751,82.310447,-
10000,1687,6.220391,0.826992
10000,1758,4.769900,0.819711
10000,3722,6.950666,0.618296
20000,19453,181.340072,-
20000,3864,29.387548,0.801367
20000,3213,1.941396,0.834833
20000,8812,3.449574,0.547011
40000,38872,25.227440,-
40000,8167,10.019304,0.789900
40000,7720,2.226982,0.801399
40000,15016,2.816915,0.613707
80000,77755,257.915234,-
80000,19100,32.785218,0.754357
80000,17562,3.111710,0.774137
80000,25449,16.429738,0.672703
120000,116655,13.183298,-
120000,30764,3.319542,0.736282
120000,28133,1.711893,0.758836
120000,31566,2.578572,0.729407
160000,155532,16.881999,-
160000,41180,14.267273,0.735231
160000,37939,4.917263,0.756069
160000,42666,7.452486,0.725677
200000,194434,8.673280,-
200000,56267,4.424776,0.710611
200000,52412,5.859271,0.730438
200000,40652,1.849988,0.790921
