all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9587,9.104365,-
10000,1789,11.978295,0.813393
10000,1259,1.354167,0.868676
10000,3320,5.352155,0.653698
20000,19150,2.850280,-
20000,4070,11.214280,0.787467
20000,3307,1.982871,0.827311
20000,6638,2.100038,0.653368
40000,38425,5.202802,-
40000,9040,5.535205,0.764736
40000,6217,1.773989,0.838204
40000,10019,1.793394,0.739258
80000,77007,53.517738,-
80000,18268,10.798191,0.762775
80000,11783,1.722963,0.846988
80000,33506,9.164400,0.564897
120000,115602,2.063160,-
120000,33369,5.348341,0.711346
120000,25010,2.351786,0.783654
120000,30102,4.796992,0.739607
160000,154264,6.284766,-
160000,38297,5.269954,0.751744
160000,32363,1.403034,0.790210
160000,40100,1.231923,0.740056
200000,192902,217.511980,-
200000,55438,14.184330,0.712611
200000,40312,1.792210,0.791023
200000,68711,5.475479,0.643804
