all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9427,14.489766,-
10000,1848,26.517658,0.803967
10000,1236,2.008250,0.868887
10000,2763,3.124922,0.706906
20000,18906,3.807415,-
20000,3633,6.590999,0.807839
20000,2268,1.176721,0.880038
20000,7390,6.402320,0.609119
40000,37926,278.290414,-
40000,7658,51.285785,0.798080
40000,5729,1.954318,0.848943
40000,11979,202.892041,0.684148
80000,76043,3.708180,-
80000,16683,1.931732,0.780611
80000,12702,1.341015,0.832963
80000,22352,1.539460,0.706061
120000,114149,2.589740,-
120000,26849,9.859747,0.764790
120000,21593,1.676151,0.810835
120000,23212,1.014396,0.796652
160000,152259,4.095131,-
160000,42049,11.591012,0.723832
160000,26049,1.260647,0.828917
160000,33847,1.782320,0.777701
200000,190288,5.806632,-
200000,51330,1.349464,0.730251
200000,38420,1.391327,0.798096
200000,37246,1.810490,0.804265
