all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9323,3.240241,-
10000,1656,9.680223,0.822375
10000,1140,1.049733,0.877722
10000,1894,1.937075,0.796847
20000,18633,11.788256,-
20000,3013,36.919667,0.838298
20000,2181,1.317570,0.882950
20000,8223,21.443923,0.558686
40000,37430,11.954990,-
40000,6506,3.254714,0.826182
40000,5050,1.464849,0.865081
40000,8792,1.819255,0.765108
80000,75014,9.725884,-
80000,15977,28.472978,0.787013
80000,10503,1.166694,0.859986
80000,32357,5.502233,0.568654
120000,112602,14.151161,-
120000,27362,5.317728,0.757003
120000,17414,0.999112,0.845349
120000,28132,13.533717,0.750164
160000,150180,20.814922,-
160000,38586,2.044746,0.743068
160000,23116,1.289631,0.846078
160000,44241,1.822315,0.705414
200000,187732,38.927931,-
200000,55204,6.489041,0.705943
200000,35125,1.103521,0.812898
200000,41107,1.332217,0.781034
