all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9531,6.819984,-
10000,1838,11.176631,0.807156
10000,1461,7.687937,0.846711
10000,2727,2.941710,0.713881
20000,19024,10.692016,-
20000,3682,4.171372,0.806455
20000,2797,3.799038,0.852975
20000,8021,8.234776,0.578375
40000,38178,23.142078,-
40000,7971,6.686175,0.791215
40000,7682,22.102125,0.798785
40000,6666,1.761660,0.825397
80000,76483,8.241967,-
80000,17874,3.532897,0.766301
80000,12422,1.126364,0.837585
80000,27420,5.238554,0.641489
120000,114846,14.321085,-
120000,26942,6.444459,0.765408
120000,20070,1.296876,0.825244
120000,25025,1.741346,0.782100
160000,153201,27.120545,-
160000,40220,18.848602,0.737469
160000,26834,1.219011,0.824844
160000,34161,1.423480,0.777018
200000,191519,34.899281,-
200000,52336,3.372563,0.726732
200000,40802,1.447279,0.786956
200000,54299,2.642279,0.716482
