all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9730,12.111962,-
10000,1875,11.009382,0.807297
10000,1568,5.621915,0.838849
10000,4297,2.458069,0.558376
20000,19455,36.905185,-
20000,3602,165.176136,0.814855
20000,3246,3.192025,0.833153
20000,10120,30.749798,0.479825
40000,39063,4.498503,-
40000,8474,6.131703,0.783068
40000,8325,8.257873,0.786883
40000,13512,2.476184,0.654097
80000,78276,7.325635,-
80000,18661,6.592594,0.761600
80000,18779,4.784069,0.760092
80000,27955,7.310233,0.642866
120000,117457,10.730225,-
120000,31071,18.762570,0.735469
120000,30887,4.819279,0.737036
120000,38128,4.357189,0.675388
160000,156602,33.479065,-
160000,42862,9.436488,0.726300
160000,45222,3.363711,0.711230
160000,49888,11.851377,0.681434
200000,195759,7.771810,-
200000,59328,4.307251,0.696933
200000,59293,2.836150,0.697112
200000,57710,4.957532,0.705199
