all_txs,cross_txs,variance,Cross-Shard txs Reduction Ratio
10000,9802,33.992758,-
10000,1741,14.006076,0.822383
10000,1627,12.835218,0.834013
10000,4770,6.162752,0.513365
20000,19596,182.554939,-
20000,3722,5.395407,0.810063
20000,3513,4.992985,0.820729
20000,10083,6.928391,0.485456
40000,39179,16.249790,-
40000,8465,3.739126,0.783940
40000,8274,3.722842,0.788815
40000,14867,4.115479,0.620537
80000,78358,7.534546,-
80000,20360,19.254947,0.740167
80000,19828,4.262579,0.746956
80000,24216,4.677289,0.690957
120000,117583,6.395444,-
120000,29750,142.629846,0.746987
120000,31808,4.205067,0.729485
120000,40051,5.943162,0.659381
160000,156848,31.317780,-
160000,45969,196.677160,0.706920
160000,42688,5.963526,0.727838
160000,53220,8.339445,0.660691
200000,196012,15.768032,-
200000,59062,14.924196,0.698682
200000,58808,2.321483,0.699978
200000,56882,4.385802,0.709803
